,SMILES LIST,Ratio List,Biodegradability
23,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
24,"['C(=O)CCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
25,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCO']","[1, 1]",0
26,"['C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
27,"['C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
28,"['C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
29,"['C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
30,"['C(=O)', 'OCC#CCO']","[1, 1]",1
31,"['C(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
32,"['C(=O)', 'OCCCCO']","[1, 1]",1
33,"['C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
34,"['C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",0
35,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
36,"['C(=O)CN(C)CC(=O)', 'OCCC(C)CCO']","[1, 1]",0
37,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
38,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
39,"['C(=O)CCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
40,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
41,"['C(=O)CCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
42,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
43,"['C(=O)CSCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
44,"['C(=O)CSCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
45,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCO']","[1, 1]",0
46,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
47,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
48,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
49,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
50,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",1
51,"['C(=O)CCCCCC(=O)', 'OCCO']","[1, 1]",1
52,"['C(=O)CCC(=O)', 'OCCO']","[1, 1]",0
53,"['C(=O)CCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
54,"['C(=O)CCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
55,"['C(=O)CCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
56,"['C(=O)CCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
57,"['C(=O)CCCC(=O)', 'OCCCCCO']","[1, 1]",1
58,"['C(=O)CCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
59,"['C(=O)CCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
60,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
61,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
62,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
63,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCO']","[1, 1]",0
64,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']","[1, 1]",0
65,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCCCO']","[1, 1]",0
66,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
67,"['C(=O)CCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
68,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
69,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
70,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
71,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
72,"['C(=O)CCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
73,"['C(=O)CCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
74,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
75,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(C)(C)CO']","[1, 1]",1
76,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",1
77,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
78,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
79,"['C(=O)CCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
80,"['C(=O)CSCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
81,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
82,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCC(C)O']","[1, 1]",0
83,"['C(=O)CCCC(CCCCCC)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
84,"['C(=O)CC(C)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
85,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
86,"['C(=O)CC(C)O', 'C(=O)CCCCCO']","[2, 1]",1
87,"['C(=O)CCCCO', 'C(=O)CCCCO']","[2, 1]",1
88,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCO']","[2, 1]",0
89,"['C(=O)CCCCO', 'C(=O)CCO']","[2, 1]",1
90,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",0
91,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCC(CCCCCC)O']","[2, 1]",1
92,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
93,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
94,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
95,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)CCC(C)O']","[1, 1]",0
96,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",1
97,"['C(=O)C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
98,"['C(=O)c(cccc1)c1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
99,"['C(=O)CC(=O)', 'OCCSCCO']","[1, 1]",1
100,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",1
101,"['C(=O)C(=O)', 'OC(CS1)SCC1O']","[1, 1]",1
102,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
103,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
104,"['C(=O)CCC(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",0
105,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
106,"['C(=O)c(ccc1)cc1C(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",0
107,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
108,"['C(=O)CCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
109,"['C(=O)CCCCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
110,"['C(=O)CCCCC(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",1
111,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
112,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",1
113,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
114,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
115,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
116,"['C(=O)CCCCCCCC(=O)', 'OCC#CCO']","[1, 1]",1
117,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
118,"['C(=O)CCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
119,"['C(=O)C(C)(C)C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
120,"['C(=O)C(C)(C)C(=O)', 'OCC=CCO']","[1, 1]",1
121,"['C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
122,"['C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
123,"['C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
124,"['C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
125,"['C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
126,"['C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
127,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
128,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
129,"['C(=O)CCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
130,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
131,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
132,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
133,"['C(=O)CCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
134,"['C(=O)CN(C)CC(=O)', 'OC(C)C(C)O']","[1, 1]",1
135,"['C(=O)CSCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
136,"['C(=O)CCCCCC(=O)', 'OCCCO']","[1, 1]",1
137,"['C(=O)CCC(=O)', 'OCCCCCCCO']","[1, 1]",0
138,"['C(=O)CCCCC(=O)', 'OCCCCO']","[1, 1]",1
139,"['C(=O)CCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
140,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCO']","[1, 1]",0
141,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCO']","[1, 1]",1
142,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCO']","[1, 1]",1
143,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
144,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
145,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
146,"['C(=O)CCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
147,"['C(=O)CCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
148,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
149,"['C(=O)CCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",0
150,"['C(=O)CCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
151,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
152,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
153,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
154,"['C(=O)CCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
155,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
156,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
157,"['C(=O)CN(C)CC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
158,"['C(=O)CCCC(=O)', 'OCC(C)O']","[1, 1]",0
159,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
160,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
161,"['C(=O)CCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
162,"['C(=O)CCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
163,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
164,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
165,"['C(=O)CCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
166,"['C(=O)CCCCCO', 'C(=O)CCCCO']","[2, 1]",1
167,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
168,"['C(=O)CCCCO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
169,"['C(=O)CCO', 'C(=O)CCCCO']","[2, 1]",1
170,"['C(=O)CCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
171,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCO']","[2, 1]",1
172,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
173,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
174,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",0
175,"['C(=O)CCCCC(CCCC)O', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",0
176,"['C(=O)CCCCC(CCCC)O', 'C(=O)CC(C)O']","[2, 1]",0
177,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
178,"['C(=O)c(cc1)ccc1C(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",1
179,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
180,"['C(=O)c(cccc1)c1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",1
181,"['C(=O)c(cccc1)c1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
182,"['C(=O)CC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
183,"['C(=O)CCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
184,"['C(=O)CCC(=O)', 'OCCSSCCO']","[1, 1]",1
185,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",0
186,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
187,"['C(=O)c(cc1)ccc1C(=O)', 'OCCC(C)CCO']","[1, 1]",1
188,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
189,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
190,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
191,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
192,"['C(=O)CCCCCCCCC(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",1
193,"['C(=O)CCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",1
194,"['C(=O)CCCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
195,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
196,"['C(=O)CCCCCCCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",1
197,"['C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
198,"['C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
199,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
200,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
201,"['C(=O)CCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
202,"['C(=O)CN(C)CC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
203,"['C(=O)c(cc1)ccc1C(=O)', 'OCCO']","[1, 1]",0
204,"['C(=O)c1ccc(cc1)C(=O)', 'OCC=CCO']","[1, 1]",0
205,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)CO']","[1, 1]",0
206,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
207,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
208,"['C(=O)CCCCCCCC(=O)', 'OCCO']","[1, 1]",0
209,"['C(=O)CCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
210,"['C(=O)CCCCCC(=O)', 'OCCCCO']","[1, 1]",0
211,"['C(=O)CCCC(=O)', 'OCCO']","[1, 1]",1
212,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
213,"['C(=O)CCCC(=O)', 'OCCCO']","[1, 1]",1
214,"['C(=O)CCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
215,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
216,"['C(=O)c(ccc1)cc1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
217,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCO']","[1, 1]",0
218,"['C(=O)CN(C)CC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
219,"['C(=O)CN(C)CC(=O)', 'OCCCCCO']","[1, 1]",1
220,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCO']","[1, 1]",0
221,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
222,"['C(=O)CCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
223,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
224,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
225,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
226,"['C(=O)CSCC(=O)', 'OCC(C)CO']","[1, 1]",1
227,"['C(=O)C(CC1)CCC1C(=O)', 'OCCSCCO']","[1, 1]",1
228,"['C(=O)CCCC(=O)', 'OCCSCCO']","[1, 1]",1
229,"['C(=O)CCCCC(=O)', 'OCCSCCO']","[1, 1]",1
230,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
231,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
232,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCCCCCCCCO']","[1, 1]",0
233,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCCCO']","[1, 1]",0
234,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
235,"['C(=O)c1oc(cc1)C(=O)', 'OCCCCCCO']","[1, 1]",0
236,"['C(=O)c1oc(cc1)C(=O)', 'OCCO']","[1, 1]",1
237,"['C(=O)CSCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
238,"['C(=O)CCCCCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
239,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
240,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
241,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
242,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCO']","[1, 1]",1
243,"['C(=O)CCCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
244,"['C(=O)CCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
245,"['C(=O)CCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
246,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
247,"['C(=O)CCCCCCCCC(=O)', 'OCCO']","[1, 1]",0
248,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
249,"['C(=O)CSCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
250,"['C(=O)CCCCCO', 'C(=O)CCCCCO']","[2, 1]",0
251,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
252,"['C(=O)CCCCCO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
253,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCCO']","[2, 1]",0
254,"['C(=O)CCCCO', 'C(=O)CCCCCO']","[2, 1]",1
255,"['C(=O)CC(C)O', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
256,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)CCCC(CCCCCCC)O']","[2, 1]",1
257,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCC(CCCCCCC)O']","[2, 1]",1
258,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
259,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",0
260,"['C(=O)CCCC(CCCC)O', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
261,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)CCCC(CCCCCC)O']","[2, 1]",0
262,"['C(=O)C=Cc(cccc1)c1O', 'C(=O)CCCC(CCCC)O']","[2, 1]",0
263,"['C(=O)CC(C)O', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",1
264,"['C(=O)CCCCCO', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",0
265,"['C(=O)CCCCC(CCCC)O', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",0
266,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
267,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
268,"['C(=O)c(cccc1)c1C(=O)', 'OCC=CCO']","[1, 1]",1
269,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
270,"['C(=O)C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
271,"['C(=O)c(ccc1)cc1C(=O)', 'OCC=CCO']","[1, 1]",0
272,"['C(=O)c(ccc1)cc1C(=O)', 'OC(C)(C)C#CC(C)(C)O']","[1, 1]",0
