,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
4,ADA25_DMT25_HND50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
24,DMI50_MRD25_DPD25_P,,,,,,,26,,Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
12,DGA25_DMI25_GGE50_P,,,,,,,31,,Y,Y,Clear Zone,20240311,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
59,SCA25_DMI25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
14,DGA25_DMT25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
64,TOA25_DMT25_DPG50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
10,CCD25_DMT25_PPD50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y-DMT->DMI,Y,,1.6:0.4:2,1.6,0.4,2.0,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
16,DMI50_BTD25_DCD25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
60,SCA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,,,1.8:0.2:2,1.8,0.2,2.0,
33,DMT50_DPD25_HND25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
1,ADA25_DMI25_BTD50_P,,,,,,,26,,Y,Y,Clear Zone,20231018,,Y,,1.8:0.2:2,1.8,0.2,2.0,
61,SUA25_DMI25_MPD50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
104,EBA50_TPG25_MPD25_P,,,,,,T2_G4,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:0.9:1.1,2.0,0.9,1.1,
208,TOA25_AZA25_TEG50_P,,,,,,T2_I4,20,,Y,Y,Clear Zone,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
115,GLA25_EBA25_MRD50_P,,,,,,T1_B1,2,viscous,Y,Y,Clear Zone,20230910,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
167,SCA25_TOA25_TPG50_P,,,,,,T2_G10,19,viscous,Y,Y,Clear Zone,20231115,P,,,0.7:1.3:2,0.7,1.3,2.0,
84,DGA50_PTD25_TEG25_P,,,,,,T2_E5,17,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.1:0.9,2.0,1.1,0.9,
169,SCA50_BTD25_CHD25_P,,,,,,T1_B4,2,"solid (glassy, clear)",Y,Y,Distributed,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
89,EBA25_SBA25_PPD50_P,,,,,,T1_J2,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,,Y,,0.9:1.1:2,0.9,1.1,2.0,
227,TOA50_HND25_BED25_P,,,,,,T2_F8,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
185,SUA25_EBA25_CHM50_P,,,,,,T2_I3,20,,Y,Y,Distributed,20231115,,,,1.1:0.9:2,1.1,0.9,2.0,
36,CCD25_SBA25_TEG50_P,,,,,,T2_I6,20,,Y,Y,Distributed,20231115,,,,0.7:1.3:2,0.7,1.3,2.0,
81,DGA50_PRD25_DPG25_P,,,,,,T1_D4,5,"solid(elastic, opaque)",Y,Y,Clear Zone,20240321,P,,,Unresolvable,2.0,1.0,1.0,
126,GLA50_DPG25_TPG25_P,,,,,,T2_A8,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
94,EBA50_DPD25_CHM25_P,,,,,,T2_D3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
