,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
0,ADA25_DMI25_BND50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.4:0.6:2,1.4,0.6,2.0,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
60,SCA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,,,1.8:0.2:2,1.8,0.2,2.0,
20,DMI50_DMD25_DPG25_P,,,,,,,27,,Y,Y,Distributed,20231209,Y,?,,2:0.7:1.3,2.0,0.7,1.3,
52,GLA25_DMT25_CHD50_P,,,,,,,31,,Y,Y,Distributed,20240321,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
51,GLA25_DMI25_BND50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
47,DMT50_TPG25_BED25_P,,,,,,,30,,Y,Y,Distributed,20231115,Y,Y,,2:0.3:1.7,2.0,0.3,1.7,
8,CCD25_DMI25_MRD50_P,,,,,,,26,,Y,Y,Distributed ,20231018,Y,Y,,1.7:0.3:2,1.7,0.3,2.0,
62,SUA25_DMT25_PRD50_P,,,,,,,25,,Y,Y,Clear Zone,20231209,Y,Y,,1.5:0.5:2,1.5,0.5,2.0,
17,ADA50_OTD25_BPA25_P,,,,,,T3_C5,24,,Y,Y,Color Interference,20231209,P,,,2:1.2:0.8,2.0,1.2,0.8,
158,SCA25_DGA25_CHD50_P,,,,,,T3_B6,23,,Y,Y,Clear Zone,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
215,TOA25_SBA25_TPG50_P,,,,,,T2_G9,19,viscous,Y,Y,Clear Zone,20231115,P,,,0.6:1.4:2,0.6,1.4,2.0,
47,CCD50_DPG25_PTD25_P,,,,,,T2_B1,13,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
3,ADA25_SUA25_MPD50_P,,,,,,T2_J4,21,,Y,Y,Distributed,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
66,DGA25_TOA25_MPD50_P,,,,,,T2_J2,21,,Y,Y,Clear Zone,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
98,EBA50_NND25_BED25_P,,,,,,T3_B2,23,,Y,Y,Distributed,20231209,P,,,2:0.8:1.2,2.0,0.8,1.2,
86,DGA50_TPD25_MPD25_P,,,,,,T2_C1,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
116,GLA25_SBA25_BPA50_P,,,,,,T3_D3,25,,Y,Y,Color Interference,20240311,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
97,EBA50_MRD25_PRD25_P,10040.0,14470.0,1.441,Y,,T1_A2,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:1.6:0.4,2.0,1.6,0.4,
30,AZA50_MPD25_OTD25_P,,,,,,T2_I9,21,,Y,Y,Distributed,20231115,,,,2:1.0:1.0,2.0,1.0,1.0,
34,CCD25_AZA25_BED50_P,,,,,,T3_A6,22,,Y,Y,Distributed,20231209,P,,,0.7:1.3:2,0.7,1.3,2.0,
44,CCD50_DPD25_BED25_P,,,,,,T2_C9,15,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
134,GLA50_PPD25_TPD25_P,,,,,,T1_I5,10,viscous,Y,Y,Clear zone,20231018,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
188,SUA25_SBA25_BTD50_P,,,,,,T1_C6,4,viscous,Y,Y,Distributed,20232018,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
214,TOA25_SBA25_NND50_P,,,,,,T2_J10,22,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
177,SCA50_PPD25_GGE25_P,,,,,,T1_H9,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
38,DMT50_MPD25_BPA25_P,,,,,,,31,,Y,N,No Growth,20240321,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
29,DMT50_DCD25_BPA25_P,,,,,,,31,,Y,N,Hydrolysis,20231121,Y,,,2:0.9:1.1,2.0,0.9,1.1,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
