,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
47,DMT50_TPG25_BED25_P,,,,,,,30,,Y,Y,Distributed,20231115,Y,Y,,2:0.3:1.7,2.0,0.3,1.7,
43,DMT50_PRD25_DPG25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y DMI->DMT,Y,,2:1.7:0.3,2.0,1.7,0.3,
59,SCA25_DMI25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
202,SUA50_PRD25_GGE25_P,,,,,,T1_D8,5,viscous,Y,Y,Distributed,20231018,,,,2:0.9:1.1,2.0,0.9,1.1,
14,ADA50_ETG25_BND25_P,,,,,,T1_E6,6,viscous,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
93,EBA50_DMD25_TEG25_P,,,,,,T1_G7,9,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:1.6:0.4,2.0,1.6,0.4,
49,CCD50_PPD25_CHD25_P,,,,,,T1_I1,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,,,2:1.0:1.0,2.0,1.0,1.0,
102,EBA50_PTD25_NND25_P,,,,,,T2_E1,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
155,SCA25_AZA25_PPD50_P,,,,,,T1_I10,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231209,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
170,SCA50_BTD25_PRD25_P,,,,,,T1_C2,3,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
165,SCA25_TOA25_DMD50_P,,,,,,T1_H3,9,"solid (elastic, opaque)",Y,Y,Distributed,20231209,Y-double?SCA->SUA,,,1.0:1.0:2,1.0,1.0,2.0,
145,SBA50_CHM25_MPD25_P,,,,,,T2_H9,20,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,,2:1.1:0.9,2.0,1.1,0.9,
149,SBA50_ETG25_BND25_P,,,,,,T1_E2,6,solid (opaque),Y,Y,Distributed,20230910,,Y,,2:0.9:1.1,2.0,0.9,1.1,
2,ADA25_CCD25_MRD50_P,,,,,,T1_A9,2,viscous,Y,Y,Distributed,20230910,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
103,EBA50_TEG25_MPD25_P,,,,,,T3_A10,23,,Y,Y,Clear Zone,20231209,P,,,2:0.9:1.1,2.0,0.9,1.1,
31,AZA50_MRD25_CHM25_P,12390.0,20000.0,1.614,Y,,T1_A5,1,viscous,Y,Y,Distributed,20231209,,Y,,2:1.9:0.1,2.0,1.9,0.1,
80,DGA50_PRD25_DPD25_P,,,,,,T1_C9,4,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
54,CCD50_PRD25_OTD25_P,,,,,,T1_D6,5,"solid (elastic, clear)",Y,Y,Distributed,20230910,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
221,TOA50_CHD25_DCD25_P,,,,,,T3_A9,22,,Y,Y,Clear Zone,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
71,DGA50_BTD25_GGE25_P,,,,,,T1_B3,2,solid (glassy),Y,Y,Clear Zone - double degradation,20230910,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
216,TOA50_BED25_BPA25_P,,,,,,T3_A2,22,,Y,Y,Color Interference,20231209,P,,,2:1.1:0.9,2.0,1.1,0.9,
45,DMT50_PTD25_GGE25_P,,,,,,,29,,Y,N,,20240311,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
53,SBA25_DMI25_CHM50_P,,,,,,,30,,Y,N,,20231121,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
24,DMI50_MRD25_DPD25_P,,,,,,,26,,Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
