,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
16,DMI50_BTD25_DCD25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
24,DMI50_MRD25_DPD25_P,,,,,,,26,,Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
12,DGA25_DMI25_GGE50_P,,,,,,,31,,Y,Y,Clear Zone,20240311,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
14,DGA25_DMT25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
59,SCA25_DMI25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
33,DMT50_DPD25_HND25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
167,SCA25_TOA25_TPG50_P,,,,,,T2_G10,19,viscous,Y,Y,Clear Zone,20231115,P,,,0.7:1.3:2,0.7,1.3,2.0,
185,SUA25_EBA25_CHM50_P,,,,,,T2_I3,20,,Y,Y,Distributed,20231115,,,,1.1:0.9:2,1.1,0.9,2.0,
101,EBA50_PRD25_TPD25_P,,,,,,T1_C8,4,viscous,Y,Y,Clear Zone,20231115,Y,,,2:0.5:1.5,2.0,0.5,1.5,
179,SCA50_PRD25_BPA25_P,,,,,,T1_D2,4,"solid (glassy, clear, orange)",Y,Y,Clear Zone,20231209,Y,Y,,2:1.4:0.6,2.0,1.4,0.6,
33,AZA50_TPG25_DCD25_P,,,,,,T2_G8,19,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,,2:0.8:1.2,2.0,0.8,1.2,
81,DGA50_PRD25_DPG25_P,,,,,,T1_D4,5,"solid(elastic, opaque)",Y,Y,Clear Zone,20240321,P,,,Unresolvable,2.0,1.0,1.0,
104,EBA50_TPG25_MPD25_P,,,,,,T2_G4,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:0.9:1.1,2.0,0.9,1.1,
163,SCA25_SBA25_TPG50_P,,,,,,T2_H1,19,viscous,Y,Y,Clear Zone,20231115,P,,,1.0:1.0:2,1.0,1.0,2.0,
232,TOA50_PPD25_CHD25_P,,,,,,T1_I3,10,"solid (elastic, opaque)",Y,Y,Distributed,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
225,TOA50_DPD25_HND25_P,,,,,,T2_C10,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
208,TOA25_AZA25_TEG50_P,,,,,,T2_I4,20,,Y,Y,Clear Zone,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
36,CCD25_SBA25_TEG50_P,,,,,,T2_I6,20,,Y,Y,Distributed,20231115,,,,0.7:1.3:2,0.7,1.3,2.0,
95,EBA50_HND25_MPD25_P,,,,,,T2_F6,18,viscous,Y,Y,Clear Zone,20231209,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
233,TOA50_TPD25_OTD25_P,,,,,,T2_B6,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,,1:0.9:1.1,2.0,0.9,1.1,
105,GLA25_ADA25_PTD50_P,,,,,,T2_E6,17,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
28,AZA50_DPD25_TPG25_P,,,,,,T2_C8,15,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
198,SUA50_MRD25_BPA25_P,5837.0,10850.0,1.858,N,,T1_A1,1,viscous,Y,Y,Color Interference,20230910,Y,Y,,2:1.6:0.4,2.0,1.6,0.4,
126,GLA50_DPG25_TPG25_P,,,,,,T2_A8,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
37,DMT50_ETG25_TPG25_P,,,,,,,25,,Y,N,,20231115,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
19,DMI50_DCD25_BPA25_P,,,,,,,31,,Y,N,Hydrolysis,20231121,Y,Y,,2:0.8:1.2,2.0,0.8,1.2,
51,GLA25_DMI25_BND50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
