,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
4,ADA25_DMT25_HND50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
64,TOA25_DMT25_DPG50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
10,CCD25_DMT25_PPD50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y-DMT->DMI,Y,,1.6:0.4:2,1.6,0.4,2.0,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
60,SCA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,,,1.8:0.2:2,1.8,0.2,2.0,
1,ADA25_DMI25_BTD50_P,,,,,,,26,,Y,Y,Clear Zone,20231018,,Y,,1.8:0.2:2,1.8,0.2,2.0,
61,SUA25_DMI25_MPD50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
115,GLA25_EBA25_MRD50_P,,,,,,T1_B1,2,viscous,Y,Y,Clear Zone,20230910,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
84,DGA50_PTD25_TEG25_P,,,,,,T2_E5,17,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.1:0.9,2.0,1.1,0.9,
169,SCA50_BTD25_CHD25_P,,,,,,T1_B4,2,"solid (glassy, clear)",Y,Y,Distributed,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
89,EBA25_SBA25_PPD50_P,,,,,,T1_J2,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,,Y,,0.9:1.1:2,0.9,1.1,2.0,
227,TOA50_HND25_BED25_P,,,,,,T2_F8,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
94,EBA50_DPD25_CHM25_P,,,,,,T2_D3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
234,TOA50_TPG25_CHM25_P,,,,,,T2_G6,19,viscous,Y,Y,Clear Zone,20231115,P,,,2:1.6:0.4,2.0,1.6,0.4,
164,SCA25_SUA25_ETG50_P,,,,,,T1_F2,7,"solid (waxy, opaque)",Y,Y,Clear Zone,20230910,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
55,CCD50_PRD25_PTD25_P,,,,,,T1_D7,5,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,P,Y,,2:0.7:1.3,2.0,0.7,1.3,
132,GLA50_MRD25_BTD25_P,10690.0,17750.0,1.66,Y,,T1_A3,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:1.7:0.3,2.0,1.7,0.3,
83,DGA50_PTD25_HND25_P,,,,,,T2_E2,16,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
152,SBA50_PPD25_NND25_P,,,,,,T1_H10,10,"solid (waxy, opaque)",Y,Y,Distributed,20240321,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
0,ADA25_AZA25_CHM50_P,,,,,,T2_H10,20,"solid (elastic, opaque)",Y,Y,Distributed,20231115,P,,,1.1:0.9:2,1.1,0.9,2.0,
123,GLA50_DPD25_PTD25_P,,,,,,T2_D1,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
133,GLA50_PPD25_MPD25_P,,,,,,T1_I7,11,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
87,EBA25_AZA25_BPA50_P,,,,,,T3_D2,25,,Y,Y,Color Interference,20240311,Y,Y,,0.9:1.1:2,0.9,1.1,2.0,
106,GLA25_AZA25_BED50_P,,,,,,T3_A5,22,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
41,DMT50_PPD25_CHM25_P,,,,,,,28,,Y,N,,20231018,,,,2:0.5:1.5,2.0,0.5,1.5,
58,SCA25_DMI25_DMD50_P,,,,,,,28,,Y,N,Hydrolysis,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
12,DGA25_DMI25_GGE50_P,,,,,,,31,,Y,Y,Clear Zone,20240311,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
