,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
3,ADA25_DMT25_DPD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.6:0.4:2,1.6,0.4,2.0,
25,DMI50_PTD25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231115,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
56,SBA25_DMT25_CHM50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,,,1.5:0.5:2,1.5,0.5,2.0,
11,DGA25_DMI25_CHM50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
54,SBA25_DMI25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
14,DGA25_DMT25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
1,ADA25_DMI25_BTD50_P,,,,,,,26,,Y,Y,Clear Zone,20231018,,Y,,1.8:0.2:2,1.8,0.2,2.0,
204,SUA50_TPG25_OTD25_P,,,,,,T2_G5,18,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,,2:0.7:1.3,2.0,0.7,1.3,
26,AZA50_DMD25_DPG25_P,,,,,,T1_F4,7,viscous,Y,Y,Clear Zone,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
199,SUA50_MRD25_DPD25_P,10940.0,16980.0,1.552,Y,,T1_A6,1,viscous,Y,Y,Distributed,20230910,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
135,GLA50_PRD25_GGE25_P,,,,,,T1_D5,5,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,P,Y,,2:0.9:1.1,2.0,0.9,1.1,
209,TOA25_CCD25_BND50_P,,,,,,T2_A5,13,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
60,DGA25_AZA25_DPD50_P,,,,,,T2_D8,16,viscous,Y,Y,Distributed,20231115,Y-DPD->DGD,Y,,1.1:0.9:2,1.1,0.9,2.0,
90,EBA50_CHM25_BED25_P,,,,,,T2_H5,19,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,,2:1.0:1.0,2.0,1.0,1.0,
76,DGA50_ETG25_BED25_P,,,,,,T1_E4,6,"solid(elastic, opaque)",Y,Y,Clear Zone,20231209,Y,,,2:0.6:1.4,2.0,0.6,1.4,
124,GLA50_DPG25_DEG25_P,,,,,,T2_B2,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
192,SUA50_DEG25_DCD25_P,,,,,,T2_F2,17,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,Y,,2:0.9:1.1,2.0,0.9,1.1,
37,CCD25_SBA25_TPD50_P,,,,,,T2_C6,15,viscous,Y,Y,Distributed,20231115,Y,Y,,0.7:1.3:2,0.7,1.3,2.0,
67,DGA25_TOA25_PPD50_P,,,,,,T1_I9,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,,,1.0:1.0:2,1.0,1.0,2.0,
96,EBA50_MPD25_BED25_P,,,,,,T3_B1,23,,Y,Y,Distributed,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
166,SCA25_TOA25_ETG50_P,,,,,,T1_F3,7,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,,,1.0:1.0:2,1.0,1.0,2.0,
207,TOA25_AZA25_OTD50_P,,,,,,T3_C6,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
200,SUA50_MRD25_PTD25_P,10910.0,16590.0,1.521,Y,,T1_A4,1,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
175,SCA50_MPD25_CHD25_P,,,,,,T2_I8,21,,Y,Y,Clear Zone,20231115,,,,2:1.1:0.9,2.0,1.1,0.9,
193,SUA50_DMD25_DPG25_P,,,,,,T1_G3,8,viscous,Y,Y,Distributed,20231018,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
226,TOA50_ETG25_MPD25_P,,,,,,T1_E5,6,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
210,TOA25_EBA25_DMD50_P,,,,,,T1_H1,9,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,P,,,1.1:0.9:2,1.1,0.9,2.0,
32,AZA50_PRD25_TPG25_P,,,,,,T1_C7,4,viscous,Y,Y,Clear Zone,20231018,Y,,,Unresolvable,2.0,1.0,1.0,
111,GLA25_DGA25_PTD50_P,,,,,,T2_E7,17,viscous,Y,Y,Clear Zone,20231115,P,Y,,1.0:1.0:2,1.0,1.0,2.0,
159,SCA25_DGA25_CHM50_P,,,,,,T2_I1,20,,Y,Y,Clear Zone,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
62,DGA25_CCD25_GGE50_P,,,,,,T3_D1,25,,Y,Y,Clear Zone,20240311,Y,,,1.0:1.0:2,1.0,1.0,2.0,
110,GLA25_DGA25_DEG50_P,,,,,,T2_F5,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,1.0:1.0:2,1.0,1.0,2.0,
194,SUA50_DPD25_CHM25_P,,,,,,T2_D4,16,"solid (waxy, opaque)",Y,Y,Distributed,20231115,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
38,CCD50_BED25_OTD25_P,,,,,,T3_A3,22,,Y,Y,Distributed,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
160,SCA25_DGA25_OTD50_P,,,,,,T3_C7,24,,Y,Y,Clear Zone,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
229,TOA50_MPD25_BPA25_P,,,,,,T2_I10,21,,Y,Y,Color Interference,20231115,,,,2:1.3:0.7,2.0,1.3,0.7,
197,SUA50_ETG25_CHD25_P,,,,,,T1_E8,6,"solid (waxy, opaque)",Y,Y,Distributed,20230910,,Y,,2:0.9:1.1,2.0,0.9,1.1,
10,ADA50_DEG25_GGE25_P,,,,,,T2_F3,17,viscous,Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
7,ADA50_CHD25_OTD25_P,,,,,,T3_A8,22,,Y,Y,Distributed,20231209,P,,,2:0.9:1.1,2.0,0.9,1.1,
138,GLA50_TPD25_HND25_P,,,,,,T2_C4,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
72,DGA50_DEG25_BED25_P,,,,,,T2_E10,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
85,DGA50_TPD25_BED25_P,,,,,,T2_C5,15,"solid (elastic, opaque)",Y,Y,Distributed,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
44,DMT50_PRD25_OTD25_P,,,,,,,26,,Y,N,,20231018,Y,,,2:0.6:1.4,2.0,0.6,1.4,
57,SCA25_DMI25_BED50_P,,,,,,,31,,Y,N,Hydrolysis,20240321,Y,Y,,1.4:0.6:2,1.4,0.6,2.0,
36,DMT50_ETG25_PTD25_P,,,,,,,27,,Y,N,,20231018,Y,,,2:0.5:1.5,2.0,0.5,1.5,
39,DMT50_MRD25_GGE25_P,,,,,,,25,,Y,N,,20231115,Y,Y,,2:1.4:0.6,1.0,1.4,0.6,
56,SBA25_DMT25_CHM50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,,,1.5:0.5:2,1.5,0.5,2.0,
