,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
35,DMT50_ETG25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
56,SBA25_DMT25_CHM50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,,,1.5:0.5:2,1.5,0.5,2.0,
34,DMT50_DPD25_OTD25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
4,ADA25_DMT25_HND50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
33,DMT50_DPD25_HND25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
63,TOA25_DMI25_HND50_P,,,,,,,30,,Y,Y,Clear Zone,20231209,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
1,ADA25_DMI25_BTD50_P,,,,,,,26,,Y,Y,Clear Zone,20231018,,Y,,1.8:0.2:2,1.8,0.2,2.0,
43,DMT50_PRD25_DPG25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y DMI->DMT,Y,,2:1.7:0.3,2.0,1.7,0.3,
3,ADA25_DMT25_DPD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.6:0.4:2,1.6,0.4,2.0,
14,DGA25_DMT25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
125,GLA50_DPG25_GGE25_P,,,,,,T2_A10,13,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
69,DGA50_BND25_PTD25_P,,,,,,T1_J9,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
65,DGA25_SUA25_MRD50_P,,,,,,T1_A10,2,viscous,Y,Y,Distributed,20230910,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
119,GLA50_BTD25_DMD25_P,,,,,,T1_C4,3,viscous,Y,Y,Distributed,20230910,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
41,CCD50_BTD25_TPG25_P,,,,,,T1_B5,2,"solid (elastic, clear)",Y,Y,Distributed,20230910,Y,Y,,Unresolvable,2.0,1.0,1.0,
48,CCD50_ETG25_TPG25_P,,,,,,T1_E10,7,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,Y,Y,,2:0.8:1.2,2.0,0.8,1.2,
156,SCA25_CCD25_DCD50_P,,,,,,T3_C4,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
183,SUA25_AZA25_NND50_P,,,,,,T2_J8,21,,Y,Y,Distributed,20231209,,,,1.5:0.5:2,1.5,0.5,2.0,
173,SCA50_DMD25_GGE25_P,,,,,,T1_G2,8,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
230,TOA50_NND25_CHD25_P,,,,,,T2_J6,21,,Y,Y,Clear Zone,20231115,,,,2:1.1:0.9,2.0,1.1,0.9,
88,EBA25_SBA25_BPA50_P,,,,,,T3_D4,25,,Y,Y,Color Interference,20240311,Y,Y,,0.9:1.1:2,0.9,1.1,2.0,
19,ADA50_PRD25_CHD25_P,,,,,,T1_D1,4,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
58,DGA25_ADA25_DPG50_P,,,,,,T2_B4,14,viscous,Y,Y,Clear Zone,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
139,GLA50_TPD25_TEG25_P,,,,,,T2_B7,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:0.8:1.2,2.0,0.8,1.2,
114,GLA25_EBA25_DCD50_P,,,,,,T3_C1,24,,Y,Y,Distributed,20231209,P,,,1.1:0.9:2,1.1,0.9,2.0,
136,GLA50_PTD25_OTD25_P,,,,,,T2_E3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:0.9:1.1,2.0,0.9,1.1,
128,GLA50_ETG25_TPG25_P,,,,,,T1_E7,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
48,DMT50_TPG25_BPA25_P,,,,,,,30,,Y,N,No Growth,20231121,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
46,DMT50_TPD25_NND25_P,,,,,,,29,,Y,N,,20231018,Y,,,2:0.6:1.4,2.0,0.6,1.4,
20,DMI50_DMD25_DPG25_P,,,,,,,27,,Y,Y,Distributed,20231209,Y,?,,2:0.7:1.3,2.0,0.7,1.3,
