,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
20,DMI50_DMD25_DPG25_P,,,,,,,27,,Y,Y,Distributed,20231209,Y,?,,2:0.7:1.3,2.0,0.7,1.3,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
11,ADA50_DMD25_CHM25_P,,,,,,T1_F6,7,"solid (waxy, opaque)",Y,Y,Distributed,20230910,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
206,TOA25_AZA25_NND50_P,,,,,,T2_J7,21,,Y,Y,Distributed,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
6,ADA50_BTD25_GGE25_P,,,,,,T1_B7,2,viscous,Y,Y,Clear Zone,20231209,Y,Y,,2.0:2.0:0,2.0,2.0,0.0,
61,DGA25_AZA25_OTD50_P,,,,,,T3_C8,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
53,CCD50_PRD25_BPA25_P,,,,,,T1_C10,4,"solid (glassy, clear, orange)",Y,Y,Color Interference,20231018,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
75,DGA50_DPD25_BED25_P,,,,,,T2_D7,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,,Y,,2:1.0:1.0,2.0,1.0,1.0,
100,EBA50_PPD25_MPD25_P,,,,,,T1_I4,10,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
79,DGA50_NND25_CHD25_P,,,,,,T2_J5,21,,Y,Y,Clear Zone,20231115,,,,2:1.1:0.9,2.0,1.1,0.9,
213,TOA25_SBA25_DCD50_P,,,,,,T3_C3,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
16,ADA50_MPD25_CHD25_P,,,,,,T2_J1,21,,Y,Y,Clear Zone,20231115,,,,2:1.6:0.4,2.0,1.6,0.4,
220,TOA50_BTD25_PPD25_P,,,,,,T1_B8,3,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
23,AZA50_BED25_CHD25_P,,,,,,T3_A1,22,,Y,Y,Distributed,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
46,CCD50_DPD25_NND25_P,,,,,,T2_D5,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
196,SUA50_DPG25_TPG25_P,,,,,,T2_A7,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,,Unresolvable,2.0,1.0,1.0,
219,TOA50_BTD25_ETG25_P,,,,,,T1_C5,3,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
64,DGA25_SUA25_DCD50_P,,,,,,T3_C2,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
73,DGA50_DEG25_OTD25_P,,,,,,T2_F1,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231209,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
30,DMT50_DEG25_DCD25_P,,,,,,,30,,Y,N,,20231121,Y,,,2:0.8:1.2,2.0,0.8,1.2,
21,DMI50_DMD25_MPD25_P,,,,,,,27,,Y,N,Hydrolysis,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
25,DMI50_PTD25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231115,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
