,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
11,DGA25_DMI25_CHM50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
55,SBA25_DMT25_BND50_P,,,,,,,28,,Y,Y,Distributed,20231018,,Y,,1.6:0.4:2,1.6,0.4,2.0,
9,CCD25_DMT25_GGE50_P,,,,,,,31,,Y,Y,Color Interference,20231209,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
17,DMI50_BTD25_DMD25_P,,,,,,,26,,Y,Y,Distributed,20231209,P,Y,,2:0.8:1.2,2.0,0.8,1.2,
4,ADA25_DMT25_HND50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
35,DMT50_ETG25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
62,SUA25_DMT25_PRD50_P,,,,,,,25,,Y,Y,Clear Zone,20231209,Y,Y,,1.5:0.5:2,1.5,0.5,2.0,
52,GLA25_DMT25_CHD50_P,,,,,,,31,,Y,Y,Distributed,20240321,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
3,ADA25_DMT25_DPD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.6:0.4:2,1.6,0.4,2.0,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
56,SBA25_DMT25_CHM50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,,,1.5:0.5:2,1.5,0.5,2.0,
32,DMT50_DEG25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
25,DMI50_PTD25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231115,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
34,DMT50_DPD25_OTD25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
42,DMT50_PRD25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
8,CCD25_DMI25_MRD50_P,,,,,,,26,,Y,Y,Distributed ,20231018,Y,Y,,1.7:0.3:2,1.7,0.3,2.0,
