,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
42,DMT50_PRD25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
60,SCA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,,,1.8:0.2:2,1.8,0.2,2.0,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
35,DMT50_ETG25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
61,SUA25_DMI25_MPD50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
107,GLA25_AZA25_CHM50_P,,,,,,T2_I2,20,,Y,Y,Distributed,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
43,CCD50_DMD25_BED25_P,,,,,,T1_F7,8,"solid (elastic, clear)",Y,Y,Distributed,20240321,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
113,GLA25_EBA25_CHD50_P,,,,,,T3_B7,23,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
22,ADA50_TPD25_PTD25_P,,,,,,T2_C3,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
77,DGA50_GGE25_BPA25_P,,,,,,T3_C10,24,,Y,Y,Distributed,20231209,P,,,2:1.3:0.7,2.0,1.3,0.7,
57,DGA25_ADA25_DPD50_P,,,,,,T2_D9,16,viscous,Y,Y,Distributed,20231115,,Y,,1.1:0.9:2,1.1,0.9,2.0,
74,DGA50_DMD25_OTD25_P,,,,,,T1_G4,8,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
39,CCD50_BND25_BPA25_P,,,,,,T1_J10,12,"solid (elastic, clear)",Y,Y,Color Interference,20231115,Y,Y,,2:1.4:0.6,2.0,1.4,0.6,
1,ADA25_CCD25_BED50_P,,,,,,T3_A7,22,,Y,Y,Distributed,20231209,P,,,0.6:1.4:2,0.6,1.4,2.0,
191,SUA50_CHM25_TEG25_P,,,,,,T2_H3,19,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,,,2:1.2:0.8,2.0,1.2,0.8,
217,TOA50_BND25_GGE25_P,,,,,,T2_A1,12,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
91,EBA50_DMD25_DPG25_P,,,,,,T1_G6,8,viscous,Y,Y,Clear Zone,20231115,Y,,,2:1.1:0.9,2.0,1.1,0.9,
5,ADA25_TOA25_MRD50_P,,,,,,T1_B2,2,viscous,Y,Y,Clear Zone,20230910,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
174,SCA50_DMD25_OTD25_P,,,,,,T1_F5,7,"solid(elastic, opaque)",Y,Y,Clear Zone,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
129,GLA50_HND25_BED25_P,,,,,,T2_F10,18,viscous,Y,Y,Clear Zone,20231115,P,Y,,2.0:2.0:0,2.0,2.0,0.0,
189,SUA50_BTD25_BND25_P,,,,,,T1_C1,3,viscous,Y,Y,Distributed,20231018,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
120,GLA50_DCD25_BPA25_P,,,,,,T3_B9,23,,Y,Y,Color Interference,20231209,P,,,2:1.1:0.9,2.0,1.1,0.9,
27,DMT50_BTD25_CHD25_P,,,,,,,26,,Y,N,,20231018,Y,,,2:0.8:1.2,2.0,0.8,1.2,
22,DMI50_DPD25_BPA25_P,,,,,,,29,,Y,N,No Growth,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
52,GLA25_DMT25_CHD50_P,,,,,,,31,,Y,Y,Distributed,20240321,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
