,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
20,DMI50_DMD25_DPG25_P,,,,,,,27,,Y,Y,Distributed,20231209,Y,?,,2:0.7:1.3,2.0,0.7,1.3,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
47,DMT50_TPG25_BED25_P,,,,,,,30,,Y,Y,Distributed,20231115,Y,Y,,2:0.3:1.7,2.0,0.3,1.7,
59,SCA25_DMI25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
43,DMT50_PRD25_DPG25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y DMI->DMT,Y,,2:1.7:0.3,2.0,1.7,0.3,
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
165,SCA25_TOA25_DMD50_P,,,,,,T1_H3,9,"solid (elastic, opaque)",Y,Y,Distributed,20231209,Y-double?SCA->SUA,,,1.0:1.0:2,1.0,1.0,2.0,
11,ADA50_DMD25_CHM25_P,,,,,,T1_F6,7,"solid (waxy, opaque)",Y,Y,Distributed,20230910,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
206,TOA25_AZA25_NND50_P,,,,,,T2_J7,21,,Y,Y,Distributed,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
93,EBA50_DMD25_TEG25_P,,,,,,T1_G7,9,viscous,Y,Y,Clear Zone,20231115,Y,Y,,2:1.6:0.4,2.0,1.6,0.4,
170,SCA50_BTD25_PRD25_P,,,,,,T1_C2,3,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
6,ADA50_BTD25_GGE25_P,,,,,,T1_B7,2,viscous,Y,Y,Clear Zone,20231209,Y,Y,,2.0:2.0:0,2.0,2.0,0.0,
2,ADA25_CCD25_MRD50_P,,,,,,T1_A9,2,viscous,Y,Y,Distributed,20230910,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
54,CCD50_PRD25_OTD25_P,,,,,,T1_D6,5,"solid (elastic, clear)",Y,Y,Distributed,20230910,Y,Y,,2:0.7:1.3,2.0,0.7,1.3,
49,CCD50_PPD25_CHD25_P,,,,,,T1_I1,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,,,2:1.0:1.0,2.0,1.0,1.0,
61,DGA25_AZA25_OTD50_P,,,,,,T3_C8,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
202,SUA50_PRD25_GGE25_P,,,,,,T1_D8,5,viscous,Y,Y,Distributed,20231018,,,,2:0.9:1.1,2.0,0.9,1.1,
53,CCD50_PRD25_BPA25_P,,,,,,T1_C10,4,"solid (glassy, clear, orange)",Y,Y,Color Interference,20231018,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
75,DGA50_DPD25_BED25_P,,,,,,T2_D7,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,,Y,,2:1.0:1.0,2.0,1.0,1.0,
100,EBA50_PPD25_MPD25_P,,,,,,T1_I4,10,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
79,DGA50_NND25_CHD25_P,,,,,,T2_J5,21,,Y,Y,Clear Zone,20231115,,,,2:1.1:0.9,2.0,1.1,0.9,
213,TOA25_SBA25_DCD50_P,,,,,,T3_C3,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
16,ADA50_MPD25_CHD25_P,,,,,,T2_J1,21,,Y,Y,Clear Zone,20231115,,,,2:1.6:0.4,2.0,1.6,0.4,
220,TOA50_BTD25_PPD25_P,,,,,,T1_B8,3,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
149,SBA50_ETG25_BND25_P,,,,,,T1_E2,6,solid (opaque),Y,Y,Distributed,20230910,,Y,,2:0.9:1.1,2.0,0.9,1.1,
23,AZA50_BED25_CHD25_P,,,,,,T3_A1,22,,Y,Y,Distributed,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
216,TOA50_BED25_BPA25_P,,,,,,T3_A2,22,,Y,Y,Color Interference,20231209,P,,,2:1.1:0.9,2.0,1.1,0.9,
221,TOA50_CHD25_DCD25_P,,,,,,T3_A9,22,,Y,Y,Clear Zone,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
155,SCA25_AZA25_PPD50_P,,,,,,T1_I10,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231209,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
46,CCD50_DPD25_NND25_P,,,,,,T2_D5,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
31,AZA50_MRD25_CHM25_P,12390.0,20000.0,1.614,Y,,T1_A5,1,viscous,Y,Y,Distributed,20231209,,Y,,2:1.9:0.1,2.0,1.9,0.1,
71,DGA50_BTD25_GGE25_P,,,,,,T1_B3,2,solid (glassy),Y,Y,Clear Zone - double degradation,20230910,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
80,DGA50_PRD25_DPD25_P,,,,,,T1_C9,4,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
103,EBA50_TEG25_MPD25_P,,,,,,T3_A10,23,,Y,Y,Clear Zone,20231209,P,,,2:0.9:1.1,2.0,0.9,1.1,
145,SBA50_CHM25_MPD25_P,,,,,,T2_H9,20,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,,2:1.1:0.9,2.0,1.1,0.9,
102,EBA50_PTD25_NND25_P,,,,,,T2_E1,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
196,SUA50_DPG25_TPG25_P,,,,,,T2_A7,13,viscous,Y,Y,Clear Zone,20231018,Y,Y,,Unresolvable,2.0,1.0,1.0,
14,ADA50_ETG25_BND25_P,,,,,,T1_E6,6,viscous,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
219,TOA50_BTD25_ETG25_P,,,,,,T1_C5,3,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
64,DGA25_SUA25_DCD50_P,,,,,,T3_C2,24,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
73,DGA50_DEG25_OTD25_P,,,,,,T2_F1,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231209,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
30,DMT50_DEG25_DCD25_P,,,,,,,30,,Y,N,,20231121,Y,,,2:0.8:1.2,2.0,0.8,1.2,
53,SBA25_DMI25_CHM50_P,,,,,,,30,,Y,N,,20231121,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
